player_id,total_appearances,total_goals,total_assists,total_minutes,total_yellow_cards,total_red_cards,goals_per_90,assists_per_90
44977,244,22,4,20244,62,2,0.098,0.018
44979,11,0,0,380,1,0,0.0,0.0
44982,112,3,3,8660,37,1,0.031,0.031
44983,162,13,5,9760,33,0,0.12,0.046
44989,35,1,1,2697,4,0,0.033,0.033
44993,16,0,1,1047,1,0,0.0,0.086
44995,6,0,0,540,2,0,0.0,0.0
44996,259,17,14,20779,86,4,0.074,0.061
44997,2,0,0,91,1,0,0.0,0.0
45001,115,5,10,6184,17,0,0.073,0.146
45004,145,15,17,9854,29,0,0.137,0.155
45005,29,0,2,2177,5,0,0.0,0.083
45025,69,4,0,5864,8,2,0.061,0.0
45026,446,0,0,40218,21,0,0.0,0.0
45042,33,4,4,2409,6,0,0.149,0.149
45045,3,0,0,71,0,0,0.0,0.0
45072,13,0,1,778,1,0,0.0,0.116
45082,1,0,0,25,0,0,0.0,0.0
45121,218,64,9,10851,16,1,0.531,0.075
45124,167,15,4,12988,46,1,0.104,0.028
45126,10,0,0,530,3,0,0.0,0.0
45128,29,1,0,2179,4,0,0.041,0.0
45139,8,0,0,565,1,0,0.0,0.0
45140,7,2,1,366,2,0,0.492,0.246
45146,284,117,21,18652,97,7,0.565,0.101
45161,170,53,21,13588,25,0,0.351,0.139
45166,51,0,0,4009,11,0,0.0,0.0
45168,54,2,4,3124,4,0,0.058,0.115
45178,78,9,12,4444,9,1,0.182,0.243
45184,331,41,27,27316,87,3,0.135,0.089
45185,1,0,0,28,0,0,0.0,0.0
45187,15,0,0,1350,3,0,0.0,0.0
45196,132,5,4,9445,29,0,0.048,0.038
45212,31,0,0,2745,4,0,0.0,0.0
45214,49,0,0,4203,6,0,0.0,0.0
45219,166,68,19,12197,18,1,0.502,0.14
45220,3,0,0,270,0,0,0.0,0.0
45227,103,0,4,8707,17,0,0.0,0.041
45228,109,1,6,6025,14,1,0.015,0.09
45235,6,0,0,315,0,0,0.0,0.0
45237,171,6,15,13773,42,2,0.039,0.098
45243,2,0,0,180,0,0,0.0,0.0
45254,18,2,0,719,1,0,0.25,0.0
45256,88,5,1,7567,10,0,0.059,0.012
45259,25,3,0,1325,5,0,0.204,0.0
45272,136,6,10,9864,21,2,0.055,0.091
45287,212,13,23,12536,36,3,0.093,0.165
45298,106,4,5,7808,31,0,0.046,0.058
45299,44,4,2,3717,5,0,0.097,0.048
45305,109,0,3,8703,30,0,0.0,0.031
45306,22,2,0,1149,4,0,0.157,0.0
45314,327,24,6,27261,55,6,0.079,0.02
45319,117,6,6,9452,42,0,0.057,0.057
45320,508,135,181,35201,42,4,0.345,0.463
45327,13,2,0,727,4,0,0.248,0.0
45328,21,0,0,1545,1,0,0.0,0.0
45330,170,1,1,12616,45,1,0.007,0.007
45331,210,1,13,17991,19,1,0.005,0.065
45333,239,9,11,16855,45,0,0.048,0.059
45335,191,41,25,10824,14,0,0.341,0.208
45340,305,19,3,25858,65,2,0.066,0.01
45341,14,1,0,904,6,1,0.1,0.0
45343,82,6,1,5402,20,0,0.1,0.017
45347,52,14,5,3205,6,0,0.393,0.14
45353,118,2,2,9587,35,0,0.019,0.019
45357,21,0,0,1782,6,1,0.0,0.0
45368,10,1,0,362,1,0,0.249,0.0
45370,111,6,2,9460,32,0,0.057,0.019
45371,22,1,0,1724,7,0,0.052,0.0
45372,117,0,0,10414,13,0,0.0,0.0
45376,11,0,0,515,3,0,0.0,0.0
45383,229,28,21,11228,6,0,0.224,0.168
45389,47,8,1,2347,5,0,0.307,0.038
45395,95,7,5,7232,12,0,0.087,0.062
45397,39,1,7,3047,5,0,0.03,0.207
45403,278,65,30,19902,43,2,0.294,0.136
45427,1,0,0,9,0,0,0.0,0.0
45448,25,0,1,2102,5,0,0.0,0.043
45455,83,21,19,4869,7,0,0.388,0.351
45464,36,1,1,2318,6,0,0.039,0.039
45465,74,6,2,4691,20,1,0.115,0.038
45475,49,5,5,3259,14,0,0.138,0.138
45486,112,19,17,9394,35,0,0.182,0.163
45491,156,21,24,7896,29,0,0.239,0.274
45494,130,0,0,11541,3,0,0.0,0.0
45501,1,0,0,90,0,0,0.0,0.0
45509,205,49,21,11922,13,1,0.37,0.159
45511,154,22,16,11135,27,0,0.178,0.129
45513,98,22,14,6785,27,0,0.292,0.186
45527,28,0,0,2475,0,0,0.0,0.0
45529,13,4,1,473,2,0,0.761,0.19
45531,4,0,0,330,1,0,0.0,0.0
45534,31,0,0,1576,3,0,0.0,0.0
45538,249,12,10,21048,42,2,0.051,0.043
45541,10,1,0,794,2,0,0.113,0.0
45542,48,1,2,3975,8,1,0.023,0.045
45543,110,4,2,9400,17,2,0.038,0.019
45548,142,5,23,11256,23,1,0.04,0.184
45555,257,26,10,19159,80,2,0.122,0.047
45559,123,13,15,6797,25,1,0.172,0.199
45562,82,3,1,4470,11,0,0.06,0.02
45565,164,12,14,12768,26,0,0.085,0.099
45566,13,0,0,391,1,0,0.0,0.0
45567,120,10,16,8147,13,0,0.11,0.177
45577,4,1,0,301,1,0,0.299,0.0
45581,124,10,3,5777,16,1,0.156,0.047
45587,24,0,1,1993,5,0,0.0,0.045
45593,91,28,21,6365,22,0,0.396,0.297
45594,73,2,1,4956,17,0,0.036,0.018
45596,243,29,43,16375,40,0,0.159,0.236
45599,152,3,14,12628,23,1,0.021,0.1
45601,162,1,1,14528,9,0,0.006,0.006
45611,283,142,54,17162,30,0,0.745,0.283
45613,94,2,4,5494,23,0,0.033,0.066
45617,30,3,1,1553,2,0,0.174,0.058
45622,51,18,11,3821,1,0,0.424,0.259
45623,113,9,7,7698,12,0,0.105,0.082
45624,193,14,7,16624,30,1,0.076,0.038
45631,2,1,0,86,0,0,1.047,0.0
45639,187,11,17,11840,94,0,0.084,0.129
45644,2,0,0,8,0,0,0.0,0.0
45646,89,16,8,4142,16,0,0.348,0.174
45653,166,4,6,13936,28,1,0.026,0.039
45655,15,0,1,1225,3,0,0.0,0.073
45660,343,84,40,18470,16,0,0.409,0.195
45662,180,13,15,9651,15,0,0.121,0.14
45666,173,9,10,12736,12,0,0.064,0.071
45668,200,12,30,14268,32,0,0.076,0.189
45671,338,112,44,18723,32,0,0.538,0.212
45672,448,0,0,40168,20,1,0.0,0.0
45673,13,0,0,522,0,1,0.0,0.0
45674,20,0,0,1800,0,0,0.0,0.0
45683,183,7,1,13526,22,0,0.047,0.007
45693,160,42,7,7961,22,0,0.475,0.079
45698,37,1,4,3003,11,0,0.03,0.12
45701,16,0,1,929,5,0,0.0,0.097
45710,41,1,7,2229,0,0,0.04,0.283
45717,127,19,7,5460,23,0,0.313,0.115
45721,5,0,1,207,1,0,0.0,0.435
45760,27,0,1,1383,7,0,0.0,0.065
45775,12,0,1,343,2,0,0.0,0.262
45812,120,21,13,9053,10,0,0.209,0.129
45826,38,0,5,3027,4,0,0.0,0.149
45832,193,81,17,14790,34,0,0.493,0.103
45846,27,2,2,1430,4,0,0.126,0.126
45858,305,68,51,24489,42,3,0.25,0.187
45860,50,1,0,3848,8,0,0.023,0.0
45861,197,6,8,17513,35,0,0.031,0.041
45864,334,53,87,25721,49,0,0.185,0.304
45865,164,64,13,10161,19,1,0.567,0.115
45881,17,6,3,1307,1,1,0.413,0.207
45882,122,0,0,10963,4,0,0.0,0.0
45889,45,0,2,2525,8,0,0.0,0.071
45912,163,0,1,14525,5,1,0.0,0.006
45921,1,0,0,12,0,0,0.0,0.0
45930,24,0,3,700,1,0,0.0,0.386
45931,39,5,5,2479,0,1,0.182,0.182
45951,1,0,0,90,1,0,0.0,0.0
45953,1,0,0,64,0,0,0.0,0.0
45970,209,75,27,15061,64,1,0.448,0.161
45985,29,1,1,2404,2,0,0.037,0.037
45986,2,0,0,113,0,0,0.0,0.0
46001,438,19,37,31997,65,0,0.053,0.104
46004,36,1,0,2939,2,0,0.031,0.0
46006,60,8,3,3442,10,0,0.209,0.078
46007,154,61,12,10689,25,1,0.514,0.101
46010,7,0,0,309,1,0,0.0,0.0
46040,34,2,4,1725,7,0,0.104,0.209
46046,36,2,1,2451,7,1,0.073,0.037
46056,180,13,3,15521,57,0,0.075,0.017
46060,12,3,1,617,2,0,0.438,0.146
46062,134,6,13,6634,16,0,0.081,0.176
46064,23,0,0,1294,4,0,0.0,0.0
46073,9,0,0,257,0,0,0.0,0.0
46083,404,37,14,34784,72,3,0.096,0.036
46104,254,69,30,12758,26,1,0.487,0.212
46105,300,4,4,22822,69,2,0.016,0.016
46106,60,19,5,2810,3,0,0.609,0.16
46109,28,3,1,1039,1,2,0.26,0.087
46110,202,3,0,15606,40,0,0.017,0.0
46111,33,10,3,1981,10,0,0.454,0.136
46121,15,1,0,1278,2,0,0.07,0.0
46154,1,0,0,3,0,0,0.0,0.0
46156,319,31,44,24496,50,0,0.114,0.162
46162,61,13,5,4138,12,0,0.283,0.109
46175,40,3,0,3158,8,1,0.085,0.0
46179,1,0,0,4,0,0,0.0,0.0
46180,199,32,32,13136,20,0,0.219,0.219
46185,97,23,6,5994,7,0,0.345,0.09
46205,96,2,0,8304,23,1,0.022,0.0
46215,124,41,6,8122,22,1,0.454,0.066
46220,114,8,23,6805,11,0,0.106,0.304
46236,65,1,2,4863,15,0,0.019,0.037
46252,145,0,0,13049,19,0,0.0,0.0
46286,41,5,7,2130,0,1,0.211,0.296
46340,30,4,5,1688,4,1,0.213,0.267
46405,66,0,1,5871,6,0,0.0,0.015
46413,245,86,10,16207,42,0,0.478,0.056
46415,161,28,12,8953,18,0,0.281,0.121
46423,80,2,8,6226,11,0,0.029,0.116
46472,26,0,0,693,1,1,0.0,0.0
46473,111,8,7,8279,8,0,0.087,0.076
46477,30,1,2,837,1,0,0.108,0.215
46478,223,7,5,19357,25,3,0.033,0.023
46500,7,0,0,598,4,0,0.0,0.0
46504,304,90,33,23908,46,1,0.339,0.124
46552,338,26,12,29897,79,2,0.078,0.036
46553,65,0,3,4902,7,1,0.0,0.055
46567,19,0,1,935,2,0,0.0,0.096
46580,348,150,64,26258,29,0,0.514,0.219
46594,67,9,7,4060,6,0,0.2,0.155
46602,22,0,0,1587,6,0,0.0,0.0
46635,320,12,27,24774,68,1,0.044,0.098
46658,219,73,27,17227,16,0,0.381,0.141
46662,58,3,2,4068,17,0,0.066,0.044
46687,69,3,2,5223,14,0,0.052,0.034
46706,31,0,2,2501,4,0,0.0,0.072
46715,92,5,3,7131,11,1,0.063,0.038
46716,71,10,11,4980,6,0,0.181,0.199
